date,account_id,amount,type
2024-01-01,101,,withdrawal
2024-01-02,102,377,deposit
2024-01-03,101,2176,deposit
2024-01-04,999,15740,withdrawal
2024-01-05,101,203,deposit
2024-01-06,103,,withdrawal
2024-01-07,999,3649,deposit
2024-01-08,103,775,deposit
2024-01-09,999,1608,withdrawal
2024-01-10,103,97,deposit
2024-01-11,103,1977,deposit
2024-01-12,999,1341,withdrawal
2024-01-13,102,-243,withdrawal
2024-01-14,101,518,withdrawal
2024-01-15,101,-371,withdrawal
2024-01-16,102,638,deposit
2024-01-17,102,323,deposit
2024-01-18,102,1815,withdrawal
2024-01-19,101,1536,deposit
2024-01-20,101,305,withdrawal
