ring_id,species,wing_length_mm,weight_g,fat_score,date,sex
AX-41385,Amsel,127.4,108.7,2,2024-08-01,F
AX-36857,Kohlmeise,74.2,17.1,1,2024-08-01,U
AX-89922,Blaumeise,62.8,12.5,2,2024-08-01,U
AX-93276,Blaumeise,66.9,12.7,4,2024-08-01,M
AX-12770,Kohlmeise,74.2,14.6,0,2024-08-01,M
AX-94854,Amsel,122.6,74.8,3,2024-08-01,F
AX-91648,Amsel,127.4,114.9,1,2024-08-01,M
AX-69034,Blaumeise,61.9,9.4,5,2024-08-01,U
AX-87219,Kohlmeise,75.5,17.8,5,2024-08-01,M
AX-93118,Kohlmeise,75.3,21.0,5,2024-08-02,U
AX-37183,Amsel,128.9,89.5,1,2024-08-02,M
AX-97417,Blaumeise,62.9,11.3,1,2024-08-02,U
AX-12230,Kohlmeise,73.7,15.5,2,2024-08-02,F
AX-46491,Amsel,124.4,90.6,4,2024-08-02,F
AX-52491,Blaumeise,63.3,10.7,2,2024-08-02,F
AX-18483,Blaumeise,62.1,10.5,3,2024-08-03,M
AX-90686,Amsel,130.5,96.0,1,2024-08-03,M
AX-14641,Kohlmeise,76.4,16.2,3,2024-08-03,M
AX-89962,Blaumeise,62.3,9.9,1,2024-08-03,U
AX-97106,Amsel,130.1,85.8,4,2024-08-03,F
AX-68180,Blaumeise,66.5,10.8,0,2024-08-03,M
AX-53867,Amsel,123.8,88.7,2,2024-08-03,F
AX-13213,Kohlmeise,74.7,19.9,2,2024-08-03,M
AX-59818,Amsel,124.5,90.9,2,2024-08-03,M
AX-22691,Kohlmeise,74.1,20.2,3,2024-08-03,U
AX-49411,Amsel,126.5,90.6,5,2024-08-03,F
AX-83731,Amsel,127.5,107.3,3,2024-08-04,M
AX-74448,Amsel,123.4,93.2,4,2024-08-04,M
AX-74891,Kohlmeise,71.5,16.8,2,2024-08-04,F
AX-84575,Blaumeise,62.2,11.0,1,2024-08-04,F
AX-45905,Amsel,122.8,90.3,1,2024-08-04,F
AX-84303,Kohlmeise,73.4,19.3,3,2024-08-04,U
AX-61072,Amsel,125.4,96.4,0,2024-08-04,M
AX-31420,Amsel,129.2,101.7,4,2024-08-04,F
AX-24849,Kohlmeise,76.1,15.7,2,2024-08-04,U
AX-52188,Kohlmeise,75.4,18.4,1,2024-08-05,M
AX-98437,Amsel,130.5,90.5,4,2024-08-05,M
AX-27324,Amsel,129.8,99.0,0,2024-08-05,U
AX-48123,Blaumeise,60.9,10.9,3,2024-08-05,F
AX-75022,Blaumeise,58.3,12.3,1,2024-08-05,F
AX-73912,Kohlmeise,74.8,17.1,0,2024-08-06,U
AX-53908,Kohlmeise,79.9,18.6,2,2024-08-06,U
AX-62860,Kohlmeise,74.5,21.0,0,2024-08-06,U
AX-75410,Amsel,124.7,93.3,1,2024-08-06,F
AX-33008,Amsel,131.9,88.8,0,2024-08-06,M
AX-47564,Kohlmeise,71.7,20.2,1,2024-08-06,F
AX-50252,Amsel,129.3,103.2,5,2024-08-06,M
AX-37497,Blaumeise,64.2,10.3,5,2024-08-07,U
AX-53426,Kohlmeise,74.8,19.2,5,2024-08-07,U
AX-87922,Blaumeise,60.0,13.2,0,2024-08-07,U
AX-35897,Amsel,136.8,106.8,1,2024-08-07,U
AX-54573,Blaumeise,63.0,11.2,0,2024-08-07,F
AX-79360,Kohlmeise,80.3,15.0,2,2024-08-07,M
AX-34360,Kohlmeise,76.5,16.9,5,2024-08-07,U
AX-85402,Kohlmeise,75.2,14.0,0,2024-08-07,F
AX-27096,Amsel,128.6,89.1,4,2024-08-08,F
AX-10723,Amsel,123.9,92.7,3,2024-08-08,F
AX-93971,Amsel,128.3,103.8,5,2024-08-08,F
AX-56128,Blaumeise,63.2,11.3,5,2024-08-08,U
AX-98614,Blaumeise,64.7,10.4,1,2024-08-08,M
AX-11955,Amsel,131.6,106.8,2,2024-08-08,M
