transaction_id,amount,currency,type
0,2374.95,USD,deposit
1,3078.32,GBP,deposit
2,1566.51,USD,withdrawal
3,3078.32,GBP,withdrawal
4,1338.85,GBP,payment
5,1603.69,USD,payment
6,3844.63,EUR,payment
7,4914.86,USD,payment
8,2531.5,USD,payment
9,3526.52,GBP,withdrawal
10,4875.97,GBP,deposit
11,2212.08,USD,withdrawal
12,3118.72,GBP,deposit
13,3748.56,EUR,deposit
14,1806.93,USD,withdrawal
15,1195.04,GBP,withdrawal
16,87.23,EUR,withdrawal
17,1810.64,USD,withdrawal
18,1841.37,USD,deposit
19,1521.53,USD,deposit
20,2495.19,EUR,deposit
21,3426.0,EUR,payment
22,2530.02,GBP,payment
23,3959.93,USD,deposit
24,549.72,EUR,payment
25,1523.18,GBP,withdrawal
26,4595.03,USD,deposit
27,2438.62,EUR,payment
28,2515.61,USD,withdrawal
29,4992.94,EUR,payment
30,1805.92,USD,payment
31,3916.33,USD,withdrawal
32,2690.04,USD,deposit
33,1499.34,GBP,withdrawal
34,3227.52,EUR,withdrawal
35,4379.92,EUR,payment
36,2208.65,EUR,payment
37,2050.71,USD,deposit
38,3537.27,EUR,withdrawal
39,1360.03,GBP,deposit
40,4157.22,GBP,withdrawal
41,485.92,USD,payment
42,3431.0,USD,payment
43,4781.07,GBP,payment
44,4873.57,EUR,deposit
45,3687.11,USD,payment
46,427.52,EUR,payment
47,1325.89,USD,withdrawal
48,1993.88,EUR,payment
49,4973.64,USD,payment
50,375.84,EUR,deposit
51,4166.93,USD,withdrawal
52,1720.05,GBP,withdrawal
53,4884.35,USD,payment
54,3946.15,EUR,deposit
55,2360.32,USD,payment
56,3029.58,GBP,deposit
57,1429.77,USD,withdrawal
58,2715.72,GBP,payment
59,1259.66,EUR,payment
60,4096.39,GBP,deposit
61,1860.59,USD,withdrawal
62,2758.1,EUR,withdrawal
63,3221.46,GBP,payment
64,674.38,GBP,deposit
65,3216.71,USD,deposit
66,4806.56,GBP,withdrawal
67,3866.16,USD,withdrawal
68,3562.75,EUR,withdrawal
69,4710.46,USD,deposit
70,3126.38,GBP,withdrawal
71,2135.85,USD,withdrawal
72,2891.66,GBP,payment
73,923.38,EUR,payment
74,4655.9,GBP,withdrawal
75,4377.2,GBP,withdrawal
76,3395.13,USD,withdrawal
77,1417.7,EUR,payment
78,4847.26,USD,withdrawal
79,4039.95,USD,payment
80,4710.42,USD,deposit
81,4356.93,EUR,deposit
82,4124.05,GBP,deposit
83,2104.47,USD,deposit
84,2586.38,USD,withdrawal
85,3661.77,GBP,payment
86,1960.1,GBP,withdrawal
87,2201.39,GBP,deposit
88,4389.39,USD,payment
89,1870.31,EUR,deposit
90,2405.17,USD,payment
91,2392.34,EUR,withdrawal
92,4484.46,GBP,payment
93,1359.24,GBP,deposit
94,913.84,EUR,deposit
95,3910.78,USD,payment
96,3737.96,USD,payment
97,3652.87,GBP,payment
98,1477.77,GBP,withdrawal
99,2679.07,EUR,withdrawal
100,1356.39,EUR,withdrawal
101,4559.96,GBP,withdrawal
102,4986.9,EUR,payment
103,3550.7,GBP,payment
104,1362.09,GBP,deposit
105,751.94,EUR,withdrawal
106,147.5,GBP,withdrawal
107,3139.27,GBP,deposit
108,2229.19,GBP,deposit
109,1925.71,EUR,withdrawal
110,1862.41,EUR,payment
111,88.91,GBP,deposit
112,4003.84,EUR,payment
113,319.37,EUR,payment
114,4785.06,GBP,withdrawal
115,132.3,EUR,deposit
116,4132.58,EUR,payment
117,4799.78,GBP,withdrawal
118,1080.67,EUR,deposit
119,997.24,GBP,deposit
120,873.7,GBP,payment
121,56.22,USD,withdrawal
122,3594.46,EUR,withdrawal
123,4450.43,GBP,payment
124,3702.51,GBP,payment
125,4561.66,GBP,withdrawal
126,767.94,GBP,payment
127,461.61,EUR,deposit
128,264.16,EUR,payment
129,1334.3,GBP,withdrawal
130,1720.74,USD,withdrawal
131,4478.57,EUR,deposit
132,637.31,EUR,payment
133,414.74,USD,payment
134,3821.15,GBP,deposit
135,4959.34,USD,payment
136,532.53,EUR,payment
137,741.96,EUR,payment
138,2819.86,USD,deposit
139,1188.1,USD,payment
140,4257.14,GBP,withdrawal
141,3088.93,USD,withdrawal
142,4613.53,EUR,payment
143,4026.93,USD,withdrawal
144,1287.71,USD,withdrawal
145,4680.22,USD,withdrawal
146,883.64,GBP,withdrawal
147,3610.72,USD,payment
148,1670.26,USD,withdrawal
149,4844.01,EUR,withdrawal
150,2854.82,EUR,deposit
151,884.46,GBP,withdrawal
152,3128.82,USD,deposit
153,2385.97,USD,payment
154,4961.88,EUR,payment
155,446.67,EUR,withdrawal
156,2955.53,GBP,withdrawal
157,3810.78,EUR,payment
158,1704.72,USD,withdrawal
159,4223.12,USD,payment
160,1428.03,USD,payment
161,3911.09,USD,payment
162,45.79,GBP,payment
163,1027.37,USD,withdrawal
164,3862.18,EUR,deposit
165,3580.01,EUR,payment
166,150.77,GBP,deposit
167,2030.62,GBP,withdrawal
168,3440.41,GBP,deposit
169,4067.7,USD,deposit
170,92.62,EUR,deposit
171,2550.92,USD,payment
172,4371.38,GBP,payment
173,861.2,EUR,withdrawal
174,4385.98,GBP,payment
175,3408.09,USD,deposit
176,1381.52,EUR,payment
177,3126.5,EUR,withdrawal
178,918.7,EUR,withdrawal
179,4395.7,EUR,deposit
180,4074.43,EUR,deposit
181,3195.51,GBP,payment
182,2650.38,GBP,payment
183,711.87,USD,deposit
184,2218.8,EUR,payment
185,2353.63,GBP,payment
186,1548.57,GBP,withdrawal
187,4511.8,GBP,withdrawal
188,899.44,EUR,withdrawal
189,955.73,EUR,deposit
190,836.63,USD,deposit
191,3487.92,GBP,deposit
192,4930.42,GBP,deposit
193,1732.94,GBP,deposit
194,4657.32,GBP,deposit
195,4683.29,GBP,deposit
196,1272.91,USD,withdrawal
197,1882.15,USD,payment
198,4533.74,EUR,withdrawal
